ingredient_id;enseigne_id;prix_paquet;date;source
moules;colruyt;;2026-08-16;
moules;lidl;;2026-08-16;
moules;aldi;;2026-08-16;
moules;delhaize;;2026-08-16;
moules;carrefour;;2026-08-16;
saumon;colruyt;;2026-08-16;
saumon;lidl;;2026-08-16;
saumon;aldi;;2026-08-16;
saumon;delhaize;;2026-08-16;
saumon;carrefour;;2026-08-16;
crevette;colruyt;;2026-08-16;
crevette;lidl;;2026-08-16;
crevette;aldi;;2026-08-16;
crevette;delhaize;;2026-08-16;
crevette;carrefour;;2026-08-16;
hache-boeuf;colruyt;;2026-08-16;
hache-boeuf;lidl;;2026-08-16;
hache-boeuf;aldi;;2026-08-16;
hache-boeuf;delhaize;;2026-08-16;
hache-boeuf;carrefour;;2026-08-16;
legume-wok;colruyt;;2026-08-16;
legume-wok;lidl;;2026-08-16;
legume-wok;aldi;;2026-08-16;
legume-wok;delhaize;;2026-08-16;
legume-wok;carrefour;;2026-08-16;
parmesan;colruyt;;2026-08-16;
parmesan;lidl;;2026-08-16;
parmesan;aldi;;2026-08-16;
parmesan;delhaize;;2026-08-16;
parmesan;carrefour;;2026-08-16;
citron;colruyt;;2026-08-16;
citron;lidl;;2026-08-16;
citron;aldi;;2026-08-16;
citron;delhaize;;2026-08-16;
citron;carrefour;;2026-08-16;
frites-surgele;colruyt;;2026-08-16;
frites-surgele;lidl;;2026-08-16;
frites-surgele;aldi;;2026-08-16;
frites-surgele;delhaize;;2026-08-16;
frites-surgele;carrefour;;2026-08-16;
beurre;colruyt;;2026-08-16;
beurre;lidl;;2026-08-16;
beurre;aldi;;2026-08-16;
beurre;delhaize;;2026-08-16;
beurre;carrefour;;2026-08-16;
oeuf;colruyt;;2026-08-16;
oeuf;lidl;;2026-08-16;
oeuf;aldi;;2026-08-16;
oeuf;delhaize;;2026-08-16;
oeuf;carrefour;;2026-08-16;
poulet-filet;colruyt;;2026-08-16;
poulet-filet;lidl;;2026-08-16;
poulet-filet;aldi;;2026-08-16;
poulet-filet;delhaize;;2026-08-16;
poulet-filet;carrefour;;2026-08-16;
riz-basmati;colruyt;;2026-08-16;
riz-basmati;lidl;;2026-08-16;
riz-basmati;aldi;;2026-08-16;
riz-basmati;delhaize;;2026-08-16;
riz-basmati;carrefour;;2026-08-16;
boeuf-bourgui;colruyt;;2026-08-16;
boeuf-bourgui;lidl;;2026-08-16;
boeuf-bourgui;aldi;;2026-08-16;
boeuf-bourgui;delhaize;;2026-08-16;
boeuf-bourgui;carrefour;;2026-08-16;
riz;colruyt;;2026-08-16;
riz;lidl;;2026-08-16;
riz;aldi;;2026-08-16;
riz;delhaize;;2026-08-16;
riz;carrefour;;2026-08-16;
colin;colruyt;;2026-08-16;
colin;lidl;;2026-08-16;
colin;aldi;;2026-08-16;
colin;delhaize;;2026-08-16;
colin;carrefour;;2026-08-16;
pain;colruyt;;2026-08-16;
pain;lidl;;2026-08-16;
pain;aldi;;2026-08-16;
pain;delhaize;;2026-08-16;
pain;carrefour;;2026-08-16;
brocoli;colruyt;;2026-08-16;
brocoli;lidl;;2026-08-16;
brocoli;aldi;;2026-08-16;
brocoli;delhaize;;2026-08-16;
brocoli;carrefour;;2026-08-16;
tomate;colruyt;;2026-08-16;
tomate;lidl;;2026-08-16;
tomate;aldi;;2026-08-16;
tomate;delhaize;;2026-08-16;
tomate;carrefour;;2026-08-16;
oignon;colruyt;;2026-08-16;
oignon;lidl;;2026-08-16;
oignon;aldi;;2026-08-16;
oignon;delhaize;;2026-08-16;
oignon;carrefour;;2026-08-16;
echalote;colruyt;;2026-08-16;
echalote;lidl;;2026-08-16;
echalote;aldi;;2026-08-16;
echalote;delhaize;;2026-08-16;
echalote;carrefour;;2026-08-16;
salade;colruyt;;2026-08-16;
salade;lidl;;2026-08-16;
salade;aldi;;2026-08-16;
salade;delhaize;;2026-08-16;
salade;carrefour;;2026-08-16;
pdt;colruyt;;2026-08-16;
pdt;lidl;;2026-08-16;
pdt;aldi;;2026-08-16;
pdt;delhaize;;2026-08-16;
pdt;carrefour;;2026-08-16;
feta;colruyt;;2026-08-16;
feta;lidl;;2026-08-16;
feta;aldi;;2026-08-16;
feta;delhaize;;2026-08-16;
feta;carrefour;;2026-08-16;
fromage-rape;colruyt;;2026-08-16;
fromage-rape;lidl;;2026-08-16;
fromage-rape;aldi;;2026-08-16;
fromage-rape;delhaize;;2026-08-16;
fromage-rape;carrefour;;2026-08-16;
ail;colruyt;;2026-08-16;
ail;lidl;;2026-08-16;
ail;aldi;;2026-08-16;
ail;delhaize;;2026-08-16;
ail;carrefour;;2026-08-16;
tofu;colruyt;;2026-08-16;
tofu;lidl;;2026-08-16;
tofu;aldi;;2026-08-16;
tofu;delhaize;;2026-08-16;
tofu;carrefour;;2026-08-16;
poulet-cuisse;colruyt;;2026-08-16;
poulet-cuisse;lidl;;2026-08-16;
poulet-cuisse;aldi;;2026-08-16;
poulet-cuisse;delhaize;;2026-08-16;
poulet-cuisse;carrefour;;2026-08-16;
citron-vert;colruyt;;2026-08-16;
citron-vert;lidl;;2026-08-16;
citron-vert;aldi;;2026-08-16;
citron-vert;delhaize;;2026-08-16;
citron-vert;carrefour;;2026-08-16;
carotte;colruyt;;2026-08-16;
carotte;lidl;;2026-08-16;
carotte;aldi;;2026-08-16;
carotte;delhaize;;2026-08-16;
carotte;carrefour;;2026-08-16;
olive;colruyt;;2026-08-16;
olive;lidl;;2026-08-16;
olive;aldi;;2026-08-16;
olive;delhaize;;2026-08-16;
olive;carrefour;;2026-08-16;
